Joint0,Joint1,Joint2,Joint3,Joint4,Joint5 
-57.568359375,8.0859375,-6.855468749999999,0.0,-1.40625,-57.39257812500001
-57.568359375,8.0859375,-6.855468749999999,0.0,-1.40625,-57.39257812500001
-57.568359375,8.0859375,-6.855468749999999,0.0,-1.40625,-57.39257812500001
-57.568359375,8.0859375,-6.855468749999999,0.0,-1.40625,-57.39257812500001
-57.568359375,8.0859375,-6.855468749999999,0.0,-1.40625,-57.39257812500001
-57.568359375,8.0859375,-6.855468749999999,0.0,-1.40625,-57.39257812500001
-57.65624999999999,8.0859375,-6.855468749999999,0.0,-1.40625,-57.39257812500001
-57.568359375,8.0859375,-6.855468749999999,0.0,-1.40625,-57.39257812500001
-57.65624999999999,8.0859375,-6.855468749999999,0.0,-1.40625,-57.3046875
-56.25,10.01953125,-8.173828124999998,0.0,-1.40625,-57.3046875
-54.75585937500001,10.986328124999998,-9.31640625,0.087890625,-1.4941406250000002,-56.77734375
-54.40429687500001,11.77734375,-10.01953125,0.087890625,-1.4941406250000002,-56.42578125
-52.03125,13.886718750000002,-12.3046875,0.0,-1.4941406250000002,-55.01953125
-52.03125,14.0625,-12.744140625,0.0,-1.40625,-54.140625
-50.53710937499999,16.083984375,-14.677734375,0.0,-1.40625,-52.99804687500001
-47.28515625,18.45703125,-17.138671875,-0.087890625,-1.40625,-51.064453125
-46.318359375,20.0390625,-18.720703125,0.0,-1.3183593749999998,-49.21875
-45.26367187500001,21.005859375,-19.951171875,-0.087890625,-1.3183593749999998,-47.724609375
-43.50585937500001,21.972656249999996,-20.91796875,0.0,-1.3183593749999998,-46.40625000000001
-42.18749999999999,22.67578125,-21.708984374999996,0.0,-1.3183593749999998,-45.087890625
-40.60546875,23.37890625,-22.5,-0.087890625,-1.1425781250000002,-43.59375
-39.111328125,24.082031250000004,-23.115234375,-0.087890625,-1.0546875,-42.18749999999999
-37.79296875,24.78515625,-23.906250000000004,-0.17578125,-1.0546875,-40.60546875
-36.38671875,25.48828125,-24.521484375,-0.17578125,-1.1425781250000002,-39.111328125
-36.2109375,25.48828125,-24.697265624999996,-0.17578125,-1.0546875,-38.408203125
-34.716796875,26.191406250000004,-25.576171874999996,-0.17578125,-0.9667968749999999,-37.44140625
-31.552734374999996,27.509765625,-26.89453125,-0.087890625,-0.9667968749999999,-35.5078125
-31.904296875000004,27.685546875000004,-26.982421875,0.0,-0.87890625,-34.27734375
-30.498046875,28.212890625,-27.509765625,-0.087890625,-0.87890625,-33.134765625
-30.498046875,28.300781249999996,-27.685546875000004,0.0,-0.87890625,-32.51953125
-29.003906249999996,28.916015625000004,-28.212890625,0.0,-0.87890625,-31.640625000000004
-29.091796875,29.003906249999996,-28.388671875,0.0,-0.87890625,-31.201171875
-27.59765625,29.619140625,-28.916015625000004,-0.087890625,-0.7910156249999999,-30.234375
-27.59765625,29.70703125,-29.003906249999996,0.0,-0.703125,-29.70703125
-26.015625,30.322265625,-29.619140625,-0.087890625,-0.703125,-28.828124999999996
-26.191406250000004,30.322265625,-29.619140625,-0.087890625,-0.703125,-28.300781249999996
-26.279296875,30.498046875,-29.794921874999996,-0.087890625,-0.703125,-27.861328125
-24.697265624999996,31.201171875,-30.410156249999996,0.0,-0.703125,-27.0703125
-21.445312499999996,31.46484375,-31.376953125,-0.087890625,-0.263671875,-25.224609375
-20.390625,31.46484375,-31.552734374999996,-0.087890625,-0.087890625,-23.37890625
-17.138671875,31.728515624999996,-32.16796875,-0.087890625,0.615234375,-21.093749999999996
-16.259765625,31.728515624999996,-32.431640625,-0.087890625,0.703125,-19.160156249999996
-16.259765625,31.81640625,-32.431640625,-0.087890625,0.7910156249999999,-18.281250000000004
-12.83203125,31.81640625,-33.310546875,-0.087890625,1.40625,-16.611328125
-11.865234375,31.904296875000004,-33.486328125,-0.087890625,1.5820312499999998,-14.853515625
-12.041015625000002,31.904296875000004,-33.486328125,-0.087890625,1.5820312499999998,-14.0625
-10.1953125,31.904296875000004,-33.662109375,-0.087890625,1.8457031250000002,-13.0078125
-10.546874999999998,31.904296875000004,-33.75,-0.087890625,1.7578125,-12.48046875
-5.625,32.080078125,-34.98046875000001,0.0,2.724609375,-10.1953125
-6.416015625,31.9921875,-34.98046875000001,0.0,2.8125,-8.525390625
-2.8125,32.255859375,-35.33203125,0.0,3.1640624999999996,-6.679687499999999
-2.021484375,32.16796875,-35.68359375,0.0,3.4277343749999996,-4.74609375
-1.7578125,32.16796875,-35.771484375,0.0,3.4277343749999996,-4.04296875
